,0
0,Idaho
1,Illinois
2,Kentucky
3,Maine
4,Massachusetts
5,Michigan
6,Minnesota
7,Missouri
8,Nebraska
9,Nevada
10,New Hampshire
11,Oklahoma
12,Tennessee
